prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20,prob_21,prob_22,true,pred
0.052802905440330505,6.980063744776999e-07,0.005454380065202713,7.525309086986454e-08,0.06621386855840683,0.17718514800071716,1.2861481991421897e-05,6.933268650755053e-06,0.0001853367139119655,0.03320131078362465,0.005496622063219547,0.6500349640846252,0.0005974999512545764,4.4813517888542265e-05,0.0008051288896240294,0.0005389248835854232,1.1764948794734664e-05,0.007255980744957924,4.23018864239566e-05,7.33518463675864e-05,1.1014219580829376e-06,1.9919568217119377e-07,3.384392766747624e-05,11,11
1.0547705642238725e-07,2.0198964723050494e-09,2.485785444150679e-07,8.304835930061927e-09,6.02918687198084e-11,2.5891514709996954e-08,0.8731212019920349,9.931505337590352e-05,1.5447244550159667e-07,0.12672613561153412,4.736165647045709e-05,4.44955894352006e-09,1.3647012053752405e-07,1.0896857816078409e-07,2.918584698363702e-07,7.407821271954163e-07,5.866744867688567e-09,6.740238367441975e-10,2.294480282216682e-06,6.068361813049705e-07,1.2113071079511428e-06,6.725704437826607e-09,4.900754912995353e-09,6,6
1.4325021311378805e-06,7.297921911231242e-08,1.2057723779435037e-06,3.2977784947263444e-09,7.667151358248248e-10,7.446752988471417e-06,6.967409831304394e-07,1.7370971328034557e-10,2.2158379298087283e-11,6.241255960048875e-06,1.4142772215564037e-06,1.7082254014089138e-11,0.9999209642410278,9.627885155794047e-10,6.830942604098278e-14,1.4656090317971726e-17,1.883221634191301e-10,1.1054088844275611e-07,5.823460378451273e-05,2.248794316983549e-06,8.695597020214052e-10,2.252383834999705e-09,1.7477503888585488e-08,12,12
1.7776160318033751e-12,2.298500135339797e-14,1.0,1.8393427983106764e-17,1.2339034721547352e-14,4.191426665380721e-14,4.450204166964503e-16,3.2482002520648964e-14,6.577580565311119e-15,4.946400006169277e-14,1.462364266951923e-15,9.291418329171464e-12,9.92725901483027e-11,7.995141342155381e-16,2.7228440708209083e-18,2.782843022016377e-20,8.67183200248256e-11,5.000875581695485e-12,5.481784946997426e-16,3.0107036655402375e-13,2.59778223238305e-12,8.654489885157046e-13,1.5900047205648577e-16,2,2
4.5975202738191e-06,0.0017381060170009732,0.006616384256631136,0.001535474439151585,4.063499000039883e-05,0.0004588031442835927,9.999524081649724e-06,7.357203867286444e-05,1.819592121421465e-08,0.0003384180017746985,0.00027929406496696174,6.582525884368806e-07,0.3944072723388672,6.716145435348153e-07,1.3954863788967486e-06,3.824520433681755e-08,0.011268218979239464,0.4076898992061615,0.0010402998887002468,0.17192523181438446,0.0002988662454299629,0.0016741142608225346,0.0005981347640044987,17,17
1.7790736706047028e-07,1.917018721542263e-07,3.0358540126229627e-09,1.2584543185312214e-07,8.165250697800275e-10,1.9071156202699058e-05,3.9089360370780923e-07,1.7057131262987468e-09,4.7725674107157445e-11,6.193608896865044e-07,1.0648307124938583e-07,1.9921448171644762e-11,0.9999531507492065,3.384559121855091e-08,1.142049996238903e-11,3.2718077379312316e-13,5.700135918829119e-09,4.253919598795619e-07,6.500972176581854e-06,1.8284108591615222e-05,2.3971810492184886e-07,6.097295113249857e-07,5.821440041131609e-08,12,12
3.654789249019075e-10,1.103472979657738e-09,1.0088844343281167e-10,3.0457275590478616e-10,7.697393937522445e-12,7.415219827056063e-11,6.146049641442275e-11,3.19735615761374e-09,1.1312418883580033e-11,3.4789953140546004e-09,1.8354849862234346e-09,2.2447882094822624e-11,0.00021086883498355746,1.0976137360119154e-10,5.6158819816687355e-09,2.6555719429000035e-11,8.37632718742043e-09,5.174397870177927e-07,7.193709183894725e-09,0.9997884631156921,7.937118340350935e-08,1.9351340529993877e-09,7.854191741429872e-10,19,19
0.004626852925866842,1.2948697669656895e-10,1.1733823157555889e-07,1.869271182286525e-09,3.6311419648882293e-07,0.003633056301623583,3.032251782997264e-09,1.0536911076997058e-06,8.237596921389922e-05,0.003156180027872324,0.0009007219923660159,0.18543179333209991,2.719540077578131e-07,0.8021444082260132,1.6527297702850774e-05,1.4072727481106995e-06,1.1981390879434173e-10,2.016716393882234e-07,4.583363079291303e-06,2.2931199161746463e-09,2.224486195245845e-08,1.0058797128564834e-09,5.933303293126357e-10,13,13
0.0039741648361086845,0.0785953551530838,0.00017483689589425921,0.00013135540939401835,0.0014550246996805072,0.0026776245795190334,9.461166337132454e-05,5.686949225491844e-05,0.00016833923291414976,0.0037778352852910757,0.00126831594388932,3.7578294723061845e-05,0.008611553348600864,8.036098734010011e-05,6.345247811623267e-07,1.3166393273422727e-06,0.004384882282465696,0.0021158414892852306,0.0008440426317974925,0.001581986085511744,0.20263823866844177,0.6830863952636719,0.004242777358740568,21,21
0.003658036468550563,0.0002186829224228859,0.0002965264138765633,1.2316331776673906e-07,0.6786224246025085,0.17421187460422516,7.39081815481768e-06,1.8712316887103952e-05,0.0026719223242253065,0.0014434689655900002,0.0015391416382044554,0.11106964945793152,0.001326418132521212,6.697446224279702e-05,0.002530899131670594,2.9672779419342987e-05,0.007792715448886156,2.435868009342812e-05,5.075572062196443e-06,0.00037995597813278437,0.013719109818339348,4.6463581384159625e-05,0.00032040965743362904,8,4
