,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,71,0,1,0,0,8,3,0,0,1,5,1,0,3,0,4,0,0,0,0,0,0,0
Aircraft carrier,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Submarine,3,0,30,0,0,1,0,1,0,1,0,1,0,0,0,5,1,1,0,3,0,0,0
Medical ship,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Combat boat,4,0,0,0,8,10,0,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0,0
Auxiliary ship,6,0,0,0,0,22,0,0,0,2,6,0,1,1,0,6,0,0,1,0,0,0,0
Container ship,0,1,0,0,0,0,14,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Car carrier,0,1,0,1,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Hovercraft,3,0,0,0,0,1,0,0,12,1,4,0,0,0,0,3,0,0,0,0,0,0,0
Bulk carrier,7,2,1,0,0,3,1,0,0,19,23,1,0,1,0,4,0,0,4,2,0,0,1
Oil tanker,3,1,0,0,0,3,1,0,0,1,21,0,0,0,0,2,0,0,1,0,0,0,0
Fishing boat,5,0,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
Destroyer,0,1,0,0,0,1,0,1,0,2,6,0,71,0,0,0,0,1,3,17,0,1,4
Passenger ship,1,1,1,0,0,3,0,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0
Landing craft,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,12,0,0,0,3,1,0
Frigate,0,1,0,0,0,7,0,0,0,2,4,0,2,0,0,2,0,36,0,5,0,0,0
Amphibious transport dock,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,9,3,0,0,1
Cruiser,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,3,1,47,0,0,1
Tarawa-class amphibious assault ship,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,9,1,2
Amphibious assault ship,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0
Command ship,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,11
