,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,61,0,0,0,16,6,2,0,0,0,1,6,0,2,1,1,0,0,0,0,0,1,0
Aircraft carrier,1,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Submarine,3,0,32,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Medical ship,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combat boat,1,0,0,0,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Auxiliary ship,3,0,0,0,27,6,0,0,2,1,0,2,1,0,2,1,0,0,0,0,0,0,0
Container ship,0,0,0,0,1,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Car carrier,1,0,1,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hovercraft,0,0,0,0,4,1,0,0,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Bulk carrier,7,0,0,0,13,2,3,0,1,28,3,5,2,1,1,0,0,0,0,2,0,0,1
Oil tanker,2,0,1,0,2,4,0,0,0,2,17,2,1,1,0,1,0,0,0,0,0,0,0
Fishing boat,5,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Destroyer,1,0,5,0,16,3,0,0,0,1,0,0,59,0,0,0,1,17,0,4,1,0,0
Passenger ship,0,0,0,0,2,2,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,2,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0
Landing craft,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0
Frigate,0,0,2,0,9,0,0,0,0,0,1,0,2,0,0,0,0,41,0,2,1,0,1
Amphibious transport dock,0,0,3,0,2,1,0,0,0,0,0,0,3,0,0,0,2,0,5,0,0,2,0
Cruiser,1,0,2,0,6,0,0,1,0,0,0,0,9,0,0,1,0,6,0,33,0,0,0
Tarawa-class amphibious assault ship,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,8,0,1
Amphibious assault ship,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26,0
Command ship,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,11
