,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,48,0,3,0,4,10,1,0,3,12,1,4,2,4,1,1,1,0,1,0,0,1,0
Aircraft carrier,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Submarine,2,0,38,0,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
Medical ship,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Combat boat,0,0,1,0,21,2,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0
Auxiliary ship,2,0,0,0,2,20,0,0,1,8,3,2,1,4,1,0,0,0,1,0,0,0,0
Container ship,0,1,0,0,0,0,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Car carrier,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Hovercraft,0,0,0,0,0,3,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bulk carrier,2,0,4,1,0,2,4,1,2,40,4,3,2,2,0,0,1,0,0,0,0,0,1
Oil tanker,1,0,1,0,1,2,0,0,1,5,20,1,0,0,1,0,0,0,0,0,0,0,0
Fishing boat,2,0,0,0,2,1,0,0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,0
Destroyer,0,0,0,0,0,0,0,0,0,1,0,0,89,0,0,0,0,12,0,4,0,0,2
Passenger ship,0,0,0,0,0,2,0,0,0,3,0,0,1,10,0,0,0,0,1,0,0,0,0
Liquefied gas ship,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,1,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
Landing craft,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,5,0,1
Frigate,0,0,1,0,0,2,0,0,0,1,0,0,11,0,0,0,0,40,2,1,0,0,1
Amphibious transport dock,0,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,2,0,7,0,0,0,1
Cruiser,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,3,0,38,0,0,4
Tarawa-class amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,12,1,0
Amphibious assault ship,0,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,20,0
Command ship,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,1,0,10
