,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,62,0,1,0,1,16,0,3,0,2,0,2,0,4,6,0,0,0,0,0,0,0,0
Aircraft carrier,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Submarine,3,0,37,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical ship,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Combat boat,1,0,2,0,18,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Auxiliary ship,5,0,1,0,3,28,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,1
Container ship,1,0,0,0,0,0,15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Car carrier,0,1,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hovercraft,3,0,1,0,0,0,0,0,17,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Bulk carrier,4,1,3,0,0,6,0,5,0,30,5,2,1,3,3,0,1,1,1,0,1,0,2
Oil tanker,0,0,3,0,0,5,0,0,1,0,16,2,0,1,3,0,0,1,0,0,0,0,1
Fishing boat,4,0,1,0,2,4,0,0,0,1,0,5,0,2,0,2,0,0,0,0,0,0,0
Destroyer,0,1,2,0,0,6,0,0,0,0,0,0,66,1,0,0,1,16,0,1,6,1,7
Passenger ship,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0
Landing craft,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,13,0,0,0,2,1,1
Frigate,0,0,1,0,1,5,0,0,0,1,0,0,5,0,1,0,1,39,1,2,1,0,1
Amphibious transport dock,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,7,1,1,1,0
Cruiser,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,2,10,0,34,1,0,3
Tarawa-class amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,10,1,1
Amphibious assault ship,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,23,1
Command ship,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,2,0,1,0,9
