,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,57,0,1,0,2,5,2,0,0,7,1,17,0,1,0,0,0,2,0,0,0,1,1
Aircraft carrier,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Submarine,4,0,36,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0
Medical ship,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combat boat,0,0,1,0,16,3,0,0,0,1,0,5,0,1,0,0,0,1,1,0,0,0,0
Auxiliary ship,6,0,0,0,6,17,0,0,1,5,0,6,2,1,0,0,0,0,1,0,0,0,0
Container ship,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Car carrier,1,0,1,0,0,0,0,8,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Hovercraft,3,0,0,0,2,2,0,0,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulk carrier,2,0,2,0,0,3,1,1,0,39,5,6,3,0,3,0,0,0,1,0,1,2,0
Oil tanker,2,0,0,0,0,5,0,0,0,9,11,4,2,0,0,0,0,0,0,0,0,0,0
Fishing boat,4,0,0,0,3,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Destroyer,0,1,3,0,1,1,0,0,0,0,1,0,87,0,0,0,1,6,2,3,1,1,0
Passenger ship,1,0,0,0,0,0,0,0,1,2,0,4,0,6,0,0,0,0,2,1,0,0,0
Liquefied gas ship,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Barge,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0
Landing craft,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,12,0,1,0,4,0,0
Frigate,0,0,1,0,2,2,0,0,0,1,1,0,9,0,1,0,0,40,0,0,2,0,0
Amphibious transport dock,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,2,0
Cruiser,0,0,2,0,0,0,0,0,0,1,1,0,12,0,1,0,0,3,0,37,1,0,1
Tarawa-class amphibious assault ship,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,0,1
Amphibious assault ship,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0
Command ship,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,1,0,0,7
