,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,32,0,0,0,12,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Aircraft carrier,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Submarine,1,0,16,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical ship,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combat boat,1,0,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Auxiliary ship,1,0,1,0,12,4,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
Container ship,0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Car carrier,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hovercraft,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bulk carrier,3,0,2,1,4,2,2,0,1,13,1,2,0,2,1,0,0,0,0,0,0,0,0
Oil tanker,0,0,2,0,2,0,0,0,1,1,9,0,0,0,0,0,0,0,1,0,0,1,0
Fishing boat,3,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Destroyer,1,0,2,0,7,2,0,0,0,0,0,0,32,0,1,0,1,6,0,2,0,1,0
Passenger ship,1,0,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Landing craft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0
Frigate,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0
Amphibious transport dock,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0
Cruiser,0,0,1,1,3,0,0,0,0,0,0,1,2,0,0,0,0,2,0,18,0,1,0
Tarawa-class amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,1,0
Amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0
Command ship,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
