,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,30,0,1,0,4,4,0,0,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0
Aircraft carrier,0,13,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Submarine,0,0,16,0,4,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Medical ship,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Combat boat,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auxiliary ship,4,0,1,0,1,8,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0
Container ship,0,0,0,1,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Car carrier,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hovercraft,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulk carrier,1,0,0,0,1,1,1,0,1,22,2,2,1,0,1,1,0,0,0,0,0,0,0
Oil tanker,0,0,1,0,1,0,0,1,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0
Fishing boat,0,0,0,0,3,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Destroyer,0,0,2,0,0,0,0,0,0,1,1,0,47,0,0,0,1,2,0,0,0,0,1
Passenger ship,0,0,1,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
Landing craft,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,1,1,0,0
Frigate,1,0,0,0,2,0,0,0,0,2,1,0,3,0,0,0,0,19,0,1,1,0,0
Amphibious transport dock,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
Cruiser,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,21,0,0,1
Tarawa-class amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0
Amphibious assault ship,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0
Command ship,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
