true_label,pred_set,pred_set_names,set_size,cloud_coverage
11,"[0, 5, 9, 10, 11, 13, 15]","['Non-ship', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Barge']",7,0.4933
6,[6],['Container ship'],1,0.0491
12,"[0, 2, 3, 5, 9, 10, 12, 17, 18, 19, 21]","['Non-ship', 'Submarine', 'Medical ship', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship']",11,0.1186
2,[2],['Submarine'],1,0.0373
17,"[9, 10, 12, 15, 17, 19]","['Bulk carrier', 'Oil tanker', 'Destroyer', 'Barge', 'Frigate', 'Cruiser']",6,0.2526
12,"[12, 18, 21]","['Destroyer', 'Amphibious transport dock', 'Amphibious assault ship']",3,0.0732
19,"[12, 19]","['Destroyer', 'Cruiser']",2,0.0589
13,"[5, 9, 10, 11, 13, 14, 15]","['Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship', 'Barge']",7,0.211
21,"[1, 19, 21]","['Aircraft carrier', 'Cruiser', 'Amphibious assault ship']",3,0.6268
8,"[8, 9, 10, 14, 15]","['Hovercraft', 'Bulk carrier', 'Oil tanker', 'Liquefied gas ship', 'Barge']",5,0.0659
17,[17],['Frigate'],1,0.0529
17,"[10, 17, 19, 21]","['Oil tanker', 'Frigate', 'Cruiser', 'Amphibious assault ship']",4,0.0948
1,[1],['Aircraft carrier'],1,0.1963
12,"[9, 12]","['Bulk carrier', 'Destroyer']",2,0.0403
0,"[0, 16, 18]","['Non-ship', 'Landing craft', 'Amphibious transport dock']",3,0.0554
12,[12],['Destroyer'],1,0.0351
14,"[10, 14, 18]","['Oil tanker', 'Liquefied gas ship', 'Amphibious transport dock']",3,0.4517
4,"[0, 9, 10, 15]","['Non-ship', 'Bulk carrier', 'Oil tanker', 'Barge']",4,0.2542
5,"[0, 4, 5, 9, 10, 12, 13, 14, 15, 17, 19]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser']",11,0.6473
19,"[10, 12, 17, 19]","['Oil tanker', 'Destroyer', 'Frigate', 'Cruiser']",4,0.4326
10,"[0, 8, 9, 10, 11, 13, 15]","['Non-ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Barge']",7,0.6709
12,[12],['Destroyer'],1,0.0564
12,[12],['Destroyer'],1,0.1338
19,"[1, 6, 10, 15, 19, 21]","['Aircraft carrier', 'Container ship', 'Oil tanker', 'Barge', 'Cruiser', 'Amphibious assault ship']",6,0.6022
5,"[0, 4, 5, 8, 9, 11, 13, 15]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat', 'Passenger ship', 'Barge']",8,0.5672
5,"[5, 10]","['Auxiliary ship', 'Oil tanker']",2,0.0947
5,[5],['Auxiliary ship'],1,0.0421
1,[1],['Aircraft carrier'],1,0.5622
9,"[9, 10]","['Bulk carrier', 'Oil tanker']",2,0.0611
0,"[0, 2, 4, 5, 8, 9, 11, 13, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship', 'Barge']",10,0.4183
12,"[12, 19]","['Destroyer', 'Cruiser']",2,0.0352
5,"[4, 5, 12, 13, 17]","['Combat boat', 'Auxiliary ship', 'Destroyer', 'Passenger ship', 'Frigate']",5,0.0634
15,"[4, 5, 9, 10, 11, 13, 14, 15]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship', 'Barge']",8,0.0923
19,"[5, 10, 12, 17, 18, 19, 22]","['Auxiliary ship', 'Oil tanker', 'Destroyer', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Command ship']",7,0.0409
0,[0],['Non-ship'],1,0.0511
19,"[1, 2, 3, 12, 15, 17, 19, 21]","['Aircraft carrier', 'Submarine', 'Medical ship', 'Destroyer', 'Barge', 'Frigate', 'Cruiser', 'Amphibious assault ship']",8,0.6854
19,"[10, 17, 19]","['Oil tanker', 'Frigate', 'Cruiser']",3,0.3038
11,[11],['Fishing boat'],1,0.3022
5,"[0, 5, 9, 10]","['Non-ship', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker']",4,0.1992
14,[14],['Liquefied gas ship'],1,0.2152
1,[1],['Aircraft carrier'],1,0.0508
4,"[5, 18]","['Auxiliary ship', 'Amphibious transport dock']",2,0.1799
8,[10],['Oil tanker'],1,0.0583
