true_label,pred_set,pred_set_names,set_size,cloud_coverage
11,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 14, 15, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate']",12,0.4933
6,[6],['Container ship'],1,0.0491
12,"[0, 2, 4, 5, 9, 12, 13, 16, 17, 18, 19, 21]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Destroyer', 'Passenger ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship']",12,0.1186
2,[2],['Submarine'],1,0.0373
17,"[11, 17, 19]","['Fishing boat', 'Frigate', 'Cruiser']",3,0.2526
12,"[12, 18, 19, 21]","['Destroyer', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship']",4,0.0732
19,[19],['Cruiser'],1,0.0589
13,"[0, 4, 5, 9, 11, 13, 15]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Passenger ship', 'Barge']",7,0.211
21,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Medical ship', 'Combat boat', 'Container ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",20,0.6268
8,"[0, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 20]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Tarawa-class amphibious assault ship']",12,0.0659
17,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.0529
17,"[0, 1, 2, 4, 5, 9, 10, 12, 13, 16, 17, 18, 19, 21]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship']",14,0.0948
1,[1],['Aircraft carrier'],1,0.1963
12,"[4, 9, 12, 18, 19]","['Combat boat', 'Bulk carrier', 'Destroyer', 'Amphibious transport dock', 'Cruiser']",5,0.0403
0,"[0, 4, 5, 6, 9, 13, 15, 22]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Passenger ship', 'Barge', 'Command ship']",8,0.0554
12,"[12, 22]","['Destroyer', 'Command ship']",2,0.0351
14,"[0, 2, 4, 7, 12, 14, 15, 16, 17, 19]","['Non-ship', 'Submarine', 'Combat boat', 'Car carrier', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Cruiser']",10,0.4517
4,"[0, 4, 5]","['Non-ship', 'Combat boat', 'Auxiliary ship']",3,0.2542
5,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser']",14,0.6473
19,"[0, 2, 4, 8, 12, 14, 15, 16, 17, 19, 20]","['Non-ship', 'Submarine', 'Combat boat', 'Hovercraft', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship']",11,0.4326
10,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate']",13,0.6709
12,"[12, 17]","['Destroyer', 'Frigate']",2,0.0564
12,"[12, 17, 19, 22]","['Destroyer', 'Frigate', 'Cruiser', 'Command ship']",4,0.1338
19,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Medical ship', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",22,0.6022
5,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge']",12,0.5672
5,"[4, 5, 9, 11]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat']",4,0.0947
5,"[4, 5, 13]","['Combat boat', 'Auxiliary ship', 'Passenger ship']",3,0.0421
1,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",20,0.5622
9,"[0, 2, 5, 6, 8, 9, 10, 11, 13, 20, 22]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Container ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Tarawa-class amphibious assault ship', 'Command ship']",11,0.0611
0,"[0, 2, 4, 5, 8, 9, 11, 13, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship', 'Barge']",10,0.4183
12,[12],['Destroyer'],1,0.0352
5,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 22]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser', 'Command ship']",17,0.0634
15,[15],['Barge'],1,0.0923
19,"[1, 2, 12, 14, 16, 17, 18, 19, 22]","['Aircraft carrier', 'Submarine', 'Destroyer', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Command ship']",9,0.0409
0,"[0, 4]","['Non-ship', 'Combat boat']",2,0.0511
19,"[0, 2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",17,0.6854
19,"[0, 2, 4, 12, 17, 19]","['Non-ship', 'Submarine', 'Combat boat', 'Destroyer', 'Frigate', 'Cruiser']",6,0.3038
11,"[4, 11]","['Combat boat', 'Fishing boat']",2,0.3022
5,"[0, 4, 5, 9, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Passenger ship']",5,0.1992
14,[14],['Liquefied gas ship'],1,0.2152
1,"[1, 3, 6, 7, 12, 17, 19, 21, 22]","['Aircraft carrier', 'Medical ship', 'Container ship', 'Car carrier', 'Destroyer', 'Frigate', 'Cruiser', 'Amphibious assault ship', 'Command ship']",9,0.0508
4,"[2, 4, 5, 9, 11, 16, 17]","['Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Landing craft', 'Frigate']",7,0.1799
8,"[4, 5, 8, 9, 11, 13]","['Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat', 'Passenger ship']",6,0.0583
18,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Medical ship', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",22,0.343
2,"[0, 2, 4]","['Non-ship', 'Submarine', 'Combat boat']",3,0.1976
5,"[0, 4, 5, 9, 10, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",6,0.1625
0,"[0, 2, 4, 5, 6, 9, 12, 13]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Destroyer', 'Passenger ship']",8,0.1887
18,"[3, 16, 17, 18]","['Medical ship', 'Landing craft', 'Frigate', 'Amphibious transport dock']",4,0.1231
20,"[0, 2, 4, 11, 12, 15, 16, 17, 19, 20]","['Non-ship', 'Submarine', 'Combat boat', 'Fishing boat', 'Destroyer', 'Barge', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship']",10,0.1174
10,"[0, 1, 2, 4, 5, 6, 9, 10, 11, 12, 14, 16, 17, 18, 19, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship', 'Command ship']",17,0.21
19,"[17, 19]","['Frigate', 'Cruiser']",2,0.1284
0,"[0, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 22]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate', 'Tarawa-class amphibious assault ship', 'Command ship']",14,0.0864
20,"[16, 20]","['Landing craft', 'Tarawa-class amphibious assault ship']",2,0.1849
9,"[0, 4, 5, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Passenger ship']",4,0.0864
9,"[0, 2, 4, 5, 6, 7, 9, 10, 12, 16, 18, 19, 20, 22]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Landing craft', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",14,0.2968
5,"[0, 2, 4, 5, 9, 10, 11, 12, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge']",10,0.4022
2,"[0, 2, 4, 5]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship']",4,0.0607
0,"[4, 8, 11, 12, 14, 17, 18]","['Combat boat', 'Hovercraft', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Frigate', 'Amphibious transport dock']",7,0.1764
5,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge']",12,0.5528
