true_label,pred_set,pred_set_names,set_size,cloud_coverage
11,"[0, 2, 9, 10, 11, 12, 14, 15, 17, 19]","['Non-ship', 'Submarine', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser']",10,0.4933
6,"[6, 9]","['Container ship', 'Bulk carrier']",2,0.0491
12,[12],['Destroyer'],1,0.1186
2,[2],['Submarine'],1,0.0373
17,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.2526
12,[12],['Destroyer'],1,0.0732
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.0589
13,[13],['Passenger ship'],1,0.211
21,"[0, 1, 7, 10, 12, 16, 17, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Car carrier', 'Oil tanker', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",11,0.6268
8,"[0, 5, 7, 8, 10, 13]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Oil tanker', 'Passenger ship']",6,0.0659
17,"[17, 19]","['Frigate', 'Cruiser']",2,0.0529
17,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.0948
1,[1],['Aircraft carrier'],1,0.1963
12,[12],['Destroyer'],1,0.0403
0,[0],['Non-ship'],1,0.0554
12,[12],['Destroyer'],1,0.0351
14,"[1, 5, 10, 12, 14, 16, 18, 21]","['Aircraft carrier', 'Auxiliary ship', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Landing craft', 'Amphibious transport dock', 'Amphibious assault ship']",8,0.4517
4,"[0, 2, 4, 5, 9, 10, 11, 12, 13, 14]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship']",10,0.2542
5,"[0, 1, 2, 4, 5, 9, 12, 15, 17]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Destroyer', 'Barge', 'Frigate']",9,0.6473
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.4326
10,"[0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 17, 19, 22]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Frigate', 'Cruiser', 'Command ship']",13,0.6709
12,[12],['Destroyer'],1,0.0564
12,[12],['Destroyer'],1,0.1338
19,"[0, 1, 2, 7, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Car carrier', 'Bulk carrier', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship']",14,0.6022
5,"[0, 2, 4, 5, 8, 9, 10, 11, 13, 14, 15, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Frigate']",12,0.5672
5,"[0, 2, 4, 5, 9, 10, 11, 12, 13, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Frigate']",10,0.0947
5,[5],['Auxiliary ship'],1,0.0421
1,"[1, 2, 5, 9, 10, 16, 17, 18, 20, 21]","['Aircraft carrier', 'Submarine', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",10,0.5622
9,"[0, 2, 5, 8, 9, 10, 19]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Cruiser']",7,0.0611
0,"[0, 9, 14]","['Non-ship', 'Bulk carrier', 'Liquefied gas ship']",3,0.4183
12,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.0352
5,"[0, 2, 4, 5, 9, 10, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Frigate']",7,0.0634
15,"[14, 15]","['Liquefied gas ship', 'Barge']",2,0.0923
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.0409
0,[0],['Non-ship'],1,0.0511
