true_label,pred_set,pred_set_names,set_size,cloud_coverage
11,"[0, 2, 4, 5, 9, 10, 11, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Frigate']",8,0.4933
6,"[6, 9]","['Container ship', 'Bulk carrier']",2,0.0491
12,[12],['Destroyer'],1,0.1186
2,[2],['Submarine'],1,0.0373
17,"[2, 12, 16, 17, 19]","['Submarine', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser']",5,0.2526
12,[12],['Destroyer'],1,0.0732
19,[19],['Cruiser'],1,0.0589
13,"[0, 5, 9, 11, 13]","['Non-ship', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Passenger ship']",5,0.211
21,"[0, 1, 5, 9, 12, 16, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Auxiliary ship', 'Bulk carrier', 'Destroyer', 'Landing craft', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",9,0.6268
8,"[0, 4, 5, 8, 11, 14, 16, 20]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Fishing boat', 'Liquefied gas ship', 'Landing craft', 'Tarawa-class amphibious assault ship']",8,0.0659
17,[17],['Frigate'],1,0.0529
17,"[2, 12, 17, 19]","['Submarine', 'Destroyer', 'Frigate', 'Cruiser']",4,0.0948
1,"[1, 21]","['Aircraft carrier', 'Amphibious assault ship']",2,0.1963
12,"[12, 19]","['Destroyer', 'Cruiser']",2,0.0403
0,[0],['Non-ship'],1,0.0554
12,[12],['Destroyer'],1,0.0351
14,"[7, 10, 12, 14, 18, 19, 21]","['Car carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship']",7,0.4517
4,"[0, 4, 5, 9, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat']",5,0.2542
5,"[0, 4, 5, 8, 9, 10, 11, 12, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Frigate']",9,0.6473
19,"[12, 19, 21]","['Destroyer', 'Cruiser', 'Amphibious assault ship']",3,0.4326
10,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 13, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Frigate']",11,0.6709
12,[12],['Destroyer'],1,0.0564
12,[12],['Destroyer'],1,0.1338
19,"[1, 6, 9, 10, 11, 12, 18, 19, 20, 21]","['Aircraft carrier', 'Container ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",10,0.6022
5,"[0, 4, 5, 8, 9, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat']",6,0.5672
5,"[4, 5]","['Combat boat', 'Auxiliary ship']",2,0.0947
5,"[5, 13]","['Auxiliary ship', 'Passenger ship']",2,0.0421
1,"[1, 9, 10, 20, 21]","['Aircraft carrier', 'Bulk carrier', 'Oil tanker', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",5,0.5622
9,"[2, 6, 8, 9, 10, 16, 20]","['Submarine', 'Container ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Landing craft', 'Tarawa-class amphibious assault ship']",7,0.0611
0,"[0, 4, 5, 8, 9, 10, 11, 13, 14]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Liquefied gas ship']",9,0.4183
12,[12],['Destroyer'],1,0.0352
5,"[5, 9, 10, 17]","['Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Frigate']",4,0.0634
15,[15],['Barge'],1,0.0923
19,[19],['Cruiser'],1,0.0409
0,"[0, 4, 5, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Fishing boat']",4,0.0511
19,"[9, 12, 17, 18, 19, 20, 22]","['Bulk carrier', 'Destroyer', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",7,0.6854
19,"[1, 2, 6, 7, 9, 12, 16, 17, 19, 20, 22]","['Aircraft carrier', 'Submarine', 'Container ship', 'Car carrier', 'Bulk carrier', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",11,0.3038
11,"[4, 11]","['Combat boat', 'Fishing boat']",2,0.3022
5,"[0, 4, 5, 9]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier']",4,0.1992
14,[14],['Liquefied gas ship'],1,0.2152
1,"[1, 7, 21]","['Aircraft carrier', 'Car carrier', 'Amphibious assault ship']",3,0.0508
4,"[2, 5, 9, 11, 12, 16, 18]","['Submarine', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Destroyer', 'Landing craft', 'Amphibious transport dock']",7,0.1799
8,"[0, 5, 8, 9, 11]","['Non-ship', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Fishing boat']",5,0.0583
18,"[7, 9, 10, 12, 14, 18, 19, 22]","['Car carrier', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Amphibious transport dock', 'Cruiser', 'Command ship']",8,0.343
2,[2],['Submarine'],1,0.1976
5,"[4, 5, 9, 10, 11]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",5,0.1625
0,"[0, 5, 9, 13]","['Non-ship', 'Auxiliary ship', 'Bulk carrier', 'Passenger ship']",4,0.1887
18,[18],['Amphibious transport dock'],1,0.1231
20,"[2, 12, 16, 17, 20, 21]","['Submarine', 'Destroyer', 'Landing craft', 'Frigate', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",6,0.1174
10,"[0, 9, 10, 12, 18]","['Non-ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Amphibious transport dock']",5,0.21
19,"[2, 12, 16, 17, 19]","['Submarine', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser']",5,0.1284
0,"[0, 4, 5, 9, 10, 11, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Frigate']",7,0.0864
20,"[16, 20]","['Landing craft', 'Tarawa-class amphibious assault ship']",2,0.1849
9,"[4, 5, 9, 11]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat']",4,0.0864
9,"[6, 9, 10, 12, 16, 18, 19, 20, 22]","['Container ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Landing craft', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",9,0.2968
5,"[0, 4, 5, 9, 11, 12, 16, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Destroyer', 'Landing craft', 'Frigate']",8,0.4022
2,[2],['Submarine'],1,0.0607
0,"[2, 5, 9, 11, 12, 18, 19]","['Submarine', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Destroyer', 'Amphibious transport dock', 'Cruiser']",7,0.1764
5,"[0, 2, 4, 5, 8, 9, 10, 11, 13]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",9,0.5528
10,"[1, 3, 9, 10, 18, 22]","['Aircraft carrier', 'Medical ship', 'Bulk carrier', 'Oil tanker', 'Amphibious transport dock', 'Command ship']",6,0.454
4,"[0, 2, 4, 5, 9, 10, 11]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",7,0.3676
17,[17],['Frigate'],1,0.1151
0,[0],['Non-ship'],1,0.0561
0,[0],['Non-ship'],1,0.1487
5,"[0, 2, 5, 9, 12, 17, 21]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Bulk carrier', 'Destroyer', 'Frigate', 'Amphibious assault ship']",7,0.5262
21,"[2, 21]","['Submarine', 'Amphibious assault ship']",2,0.2048
20,"[12, 16, 18, 20]","['Destroyer', 'Landing craft', 'Amphibious transport dock', 'Tarawa-class amphibious assault ship']",4,0.0473
4,"[4, 5]","['Combat boat', 'Auxiliary ship']",2,0.2196
7,"[0, 5, 7, 9, 12, 13, 21]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Destroyer', 'Passenger ship', 'Amphibious assault ship']",7,0.2659
10,"[4, 5, 9, 10, 11, 12, 17]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Frigate']",7,0.1099
12,"[9, 12]","['Bulk carrier', 'Destroyer']",2,0.5427
4,"[0, 1, 2, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",17,0.5323
8,"[0, 1, 4, 5, 8, 9, 10, 11, 13, 21]","['Non-ship', 'Aircraft carrier', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Amphibious assault ship']",10,0.0556
18,"[12, 18]","['Destroyer', 'Amphibious transport dock']",2,0.1294
1,[1],['Aircraft carrier'],1,0.11
9,"[3, 6, 9, 12, 18]","['Medical ship', 'Container ship', 'Bulk carrier', 'Destroyer', 'Amphibious transport dock']",5,0.3774
19,"[9, 12, 19]","['Bulk carrier', 'Destroyer', 'Cruiser']",3,0.1129
7,"[1, 7, 9, 12, 13, 14, 18, 19]","['Aircraft carrier', 'Car carrier', 'Bulk carrier', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Amphibious transport dock', 'Cruiser']",8,0.055
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.3586
9,"[9, 11]","['Bulk carrier', 'Fishing boat']",2,0.0442
0,"[0, 5, 6, 10, 13]","['Non-ship', 'Auxiliary ship', 'Container ship', 'Oil tanker', 'Passenger ship']",5,0.0785
2,"[0, 2, 4, 9, 11, 12]","['Non-ship', 'Submarine', 'Combat boat', 'Bulk carrier', 'Fishing boat', 'Destroyer']",6,0.0972
8,"[0, 4, 5, 8, 9, 10, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",7,0.0683
5,"[0, 1, 2, 5, 6, 7, 9, 10, 12, 13, 17, 18, 21]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Frigate', 'Amphibious transport dock', 'Amphibious assault ship']",13,0.5411
12,"[2, 5, 12, 17, 19]","['Submarine', 'Auxiliary ship', 'Destroyer', 'Frigate', 'Cruiser']",5,0.0999
11,"[4, 5, 9, 10, 11]","['Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",5,0.0623
13,"[0, 5, 8, 9, 10, 11, 13]","['Non-ship', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",7,0.2005
0,"[0, 6, 9]","['Non-ship', 'Container ship', 'Bulk carrier']",3,0.0617
17,[17],['Frigate'],1,0.0126
2,[2],['Submarine'],1,0.2145
0,[11],['Fishing boat'],1,0.1096
0,[0],['Non-ship'],1,0.211
10,"[0, 4, 5, 9, 10, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",6,0.1104
12,[12],['Destroyer'],1,0.1341
9,"[5, 6, 7, 9]","['Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier']",4,0.1109
19,"[0, 1, 3, 7, 9, 10, 12, 18, 19, 21, 22]","['Non-ship', 'Aircraft carrier', 'Medical ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Amphibious transport dock', 'Cruiser', 'Amphibious assault ship', 'Command ship']",11,0.5435
12,"[12, 17, 22]","['Destroyer', 'Frigate', 'Command ship']",3,0.1316
2,[2],['Submarine'],1,0.3245
22,"[2, 12, 16, 17, 20, 21, 22]","['Submarine', 'Destroyer', 'Landing craft', 'Frigate', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",7,0.1221
