model,alpha,k,n_cal,tau_score,threshold,cal_coverage,cal_avg_set_size,cal_std_set_size,test_coverage,test_avg_set_size,test_std_set_size
resnet50,0.01,809,816,0.9999981499154273,1.850084572652122e-06,0.991421568627451,13.224264705882353,7.812995274809825,0.9926650366748166,13.17114914425428,7.648532404385613
convnext_tiny,0.01,809,816,0.999968347918184,3.165208181599155e-05,0.991421568627451,10.028186274509803,6.225058377106842,0.9828850855745721,9.816625916870416,6.065259265704065
densenet121,0.01,809,816,0.999921622526017,7.837747398298234e-05,0.991421568627451,12.196078431372548,7.145347059620683,0.9755501222493888,12.029339853300733,7.140338309967202
efficientnet_b0,0.01,809,816,0.9999868782824706,1.3121717529429588e-05,0.991421568627451,10.26593137254902,6.655713251491687,0.9902200488997555,9.987775061124694,6.330160236198224
mobilenet_v3_large,0.01,809,816,0.9999795404291945,2.045957080554217e-05,0.991421568627451,9.723039215686274,6.17370307413144,0.9828850855745721,9.67237163814181,6.131743546526559
resnet50,0.02,801,816,0.9999502549180761,4.9745081923902035e-05,0.9816176470588235,9.375,7.024693517756123,0.9779951100244498,8.93643031784841,6.645864700570894
convnext_tiny,0.02,801,816,0.999811194385984,0.0001888056140160188,0.9803921568627451,7.232843137254902,5.203557042483755,0.9706601466992665,7.083129584352078,4.961413261787932
densenet121,0.02,801,816,0.9998259620915633,0.0001740379084367305,0.9803921568627451,10.661764705882353,6.876709787063068,0.9755501222493888,10.496332518337407,6.889222276529845
efficientnet_b0,0.02,801,816,0.9999225114370347,7.748856296529993e-05,0.9816176470588235,7.779411764705882,5.60524448962969,0.9828850855745721,7.400977995110025,5.267417328795116
mobilenet_v3_large,0.02,801,816,0.9999588033606415,4.1196639358531684e-05,0.9803921568627451,8.83578431372549,5.828215176607105,0.9779951100244498,8.76039119804401,5.822648127711138
resnet50,0.03,793,816,0.9997907327342546,0.00020926726574543864,0.9705882352941176,7.556372549019608,6.107765032859381,0.9731051344743277,7.0513447432762835,5.697849990194787
convnext_tiny,0.03,793,816,0.9996212629193906,0.0003787370806094259,0.9705882352941176,6.182598039215686,4.630890265699804,0.9633251833740831,6.205378973105135,4.471792904422899
densenet121,0.03,793,816,0.9996159101137893,0.0003840898862107478,0.9718137254901961,9.10906862745098,6.4465040596903,0.9682151589242054,8.853300733496333,6.410239595872729
efficientnet_b0,0.03,793,816,0.9997194233292249,0.000280576670775079,0.9718137254901961,6.082107843137255,4.6266099866666615,0.9657701711491442,5.7799511002444985,4.371867393621046
