img_path,fine_label,super_label
data\001.Nimitz-class_aircraft_carrier\P0002.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0017.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0027.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0029.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0031.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0052.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0059.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0080.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0084.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0092.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0132.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0145.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0199.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0212.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0218.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0228.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0240.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0243.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0252.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0267.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0293.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0295.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0307.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0308.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0315.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0330.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0418.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0427.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0431.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0484.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0503.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0525.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0530.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0537.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0539.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0541.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0556.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0627.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0653.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0674.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0675.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0696.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0699.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0709.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0731.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0736.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0742.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0754.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0757.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0782.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0806.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0813.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0828.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0835.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0837.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0865.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0904.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0936.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0960.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P0967.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1010.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1034.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1035.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1048.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1078.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1082.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1106.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1109.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1112.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1140.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1156.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1173.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1184.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1188.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1223.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1234.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1242.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1252.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1286.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1295.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1321.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1326.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1328.bmp,001.Nimitz-class_aircraft_carrier,Carrier
