img_path,fine_label,super_label,sharpness
data\001.Nimitz-class_aircraft_carrier\P0002.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.93181
data\001.Nimitz-class_aircraft_carrier\P0017.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.44737
data\001.Nimitz-class_aircraft_carrier\P0027.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.10384
data\001.Nimitz-class_aircraft_carrier\P0029.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.53886
data\001.Nimitz-class_aircraft_carrier\P0031.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.30054
data\001.Nimitz-class_aircraft_carrier\P0052.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.764015
data\001.Nimitz-class_aircraft_carrier\P0059.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.55477
data\001.Nimitz-class_aircraft_carrier\P0080.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.522575
data\001.Nimitz-class_aircraft_carrier\P0084.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.91336
data\001.Nimitz-class_aircraft_carrier\P0092.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.58142
data\001.Nimitz-class_aircraft_carrier\P0132.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.6306
data\001.Nimitz-class_aircraft_carrier\P0145.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.69829
data\001.Nimitz-class_aircraft_carrier\P0199.bmp,001.Nimitz-class_aircraft_carrier,Carrier,87.19057
data\001.Nimitz-class_aircraft_carrier\P0212.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.599625
data\001.Nimitz-class_aircraft_carrier\P0218.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.33955
data\001.Nimitz-class_aircraft_carrier\P0228.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.665344
data\001.Nimitz-class_aircraft_carrier\P0240.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.63925
data\001.Nimitz-class_aircraft_carrier\P0243.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.21374
data\001.Nimitz-class_aircraft_carrier\P0252.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.678314
data\001.Nimitz-class_aircraft_carrier\P0267.bmp,001.Nimitz-class_aircraft_carrier,Carrier,75.546005
data\001.Nimitz-class_aircraft_carrier\P0293.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.6744
data\001.Nimitz-class_aircraft_carrier\P0295.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.27762
data\001.Nimitz-class_aircraft_carrier\P0307.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.82187
data\001.Nimitz-class_aircraft_carrier\P0308.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.663414
data\001.Nimitz-class_aircraft_carrier\P0315.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.2497
data\001.Nimitz-class_aircraft_carrier\P0330.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.108925
data\001.Nimitz-class_aircraft_carrier\P0418.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.38458
data\001.Nimitz-class_aircraft_carrier\P0427.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.03055
data\001.Nimitz-class_aircraft_carrier\P0431.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.85971
data\001.Nimitz-class_aircraft_carrier\P0484.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.61204
data\001.Nimitz-class_aircraft_carrier\P0503.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.59097
data\001.Nimitz-class_aircraft_carrier\P0525.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.4775
data\001.Nimitz-class_aircraft_carrier\P0530.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.366776
data\001.Nimitz-class_aircraft_carrier\P0537.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.930565
data\001.Nimitz-class_aircraft_carrier\P0539.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.451935
data\001.Nimitz-class_aircraft_carrier\P0541.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.41056
data\001.Nimitz-class_aircraft_carrier\P0556.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.85607
data\001.Nimitz-class_aircraft_carrier\P0627.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.34164
data\001.Nimitz-class_aircraft_carrier\P0653.bmp,001.Nimitz-class_aircraft_carrier,Carrier,90.96643
data\001.Nimitz-class_aircraft_carrier\P0674.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.780396
data\001.Nimitz-class_aircraft_carrier\P0675.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.50163
data\001.Nimitz-class_aircraft_carrier\P0696.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.23826
data\001.Nimitz-class_aircraft_carrier\P0699.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.82964
data\001.Nimitz-class_aircraft_carrier\P0709.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.63515
data\001.Nimitz-class_aircraft_carrier\P0731.bmp,001.Nimitz-class_aircraft_carrier,Carrier,75.51248
data\001.Nimitz-class_aircraft_carrier\P0736.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.59482
data\001.Nimitz-class_aircraft_carrier\P0742.bmp,001.Nimitz-class_aircraft_carrier,Carrier,77.95559
data\001.Nimitz-class_aircraft_carrier\P0754.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.313034
data\001.Nimitz-class_aircraft_carrier\P0757.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.44606
data\001.Nimitz-class_aircraft_carrier\P0782.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.74524
data\001.Nimitz-class_aircraft_carrier\P0806.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.39347
data\001.Nimitz-class_aircraft_carrier\P0813.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.132
data\001.Nimitz-class_aircraft_carrier\P0828.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.528824
data\001.Nimitz-class_aircraft_carrier\P0835.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.36493
data\001.Nimitz-class_aircraft_carrier\P0837.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.87636
data\001.Nimitz-class_aircraft_carrier\P0865.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.41908
data\001.Nimitz-class_aircraft_carrier\P0904.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.64252
data\001.Nimitz-class_aircraft_carrier\P0936.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.403435
data\001.Nimitz-class_aircraft_carrier\P0960.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.06436
data\001.Nimitz-class_aircraft_carrier\P0967.bmp,001.Nimitz-class_aircraft_carrier,Carrier,77.90523
data\001.Nimitz-class_aircraft_carrier\P1010.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.84161
data\001.Nimitz-class_aircraft_carrier\P1034.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.92799
data\001.Nimitz-class_aircraft_carrier\P1035.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.308624
data\001.Nimitz-class_aircraft_carrier\P1048.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.79329
data\001.Nimitz-class_aircraft_carrier\P1078.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.5247
data\001.Nimitz-class_aircraft_carrier\P1082.bmp,001.Nimitz-class_aircraft_carrier,Carrier,77.95346
data\001.Nimitz-class_aircraft_carrier\P1106.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.84949
data\001.Nimitz-class_aircraft_carrier\P1109.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.78076
data\001.Nimitz-class_aircraft_carrier\P1112.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.90692
data\001.Nimitz-class_aircraft_carrier\P1140.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.49629
data\001.Nimitz-class_aircraft_carrier\P1156.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.77083
data\001.Nimitz-class_aircraft_carrier\P1173.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.1089
data\001.Nimitz-class_aircraft_carrier\P1184.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.0562
data\001.Nimitz-class_aircraft_carrier\P1188.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.34743
data\001.Nimitz-class_aircraft_carrier\P1223.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.53989
data\001.Nimitz-class_aircraft_carrier\P1234.bmp,001.Nimitz-class_aircraft_carrier,Carrier,87.1501
data\001.Nimitz-class_aircraft_carrier\P1242.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.521774
data\001.Nimitz-class_aircraft_carrier\P1252.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.679276
data\001.Nimitz-class_aircraft_carrier\P1286.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.53898
data\001.Nimitz-class_aircraft_carrier\P1295.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.03815
data\001.Nimitz-class_aircraft_carrier\P1321.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.921814
data\001.Nimitz-class_aircraft_carrier\P1326.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.650925
data\001.Nimitz-class_aircraft_carrier\P1328.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.34943
data\001.Nimitz-class_aircraft_carrier\P1343.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.08452
data\001.Nimitz-class_aircraft_carrier\P1344.bmp,001.Nimitz-class_aircraft_carrier,Carrier,75.20852
data\001.Nimitz-class_aircraft_carrier\P1347.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.05528
data\001.Nimitz-class_aircraft_carrier\P1356.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.06436
data\001.Nimitz-class_aircraft_carrier\P1395.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.09693
data\001.Nimitz-class_aircraft_carrier\P1435.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.570015
data\001.Nimitz-class_aircraft_carrier\P1437.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.418915
data\001.Nimitz-class_aircraft_carrier\P1438.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.39823
data\001.Nimitz-class_aircraft_carrier\P1444.bmp,001.Nimitz-class_aircraft_carrier,Carrier,77.97803
data\001.Nimitz-class_aircraft_carrier\P1449.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.78698
data\001.Nimitz-class_aircraft_carrier\P1467.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.62041
data\001.Nimitz-class_aircraft_carrier\P1480.bmp,001.Nimitz-class_aircraft_carrier,Carrier,89.611465
data\001.Nimitz-class_aircraft_carrier\P1487.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.27632
data\001.Nimitz-class_aircraft_carrier\P1495.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.61233
data\001.Nimitz-class_aircraft_carrier\P1497.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.14821
data\001.Nimitz-class_aircraft_carrier\P1506.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.91868
data\001.Nimitz-class_aircraft_carrier\P1512.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.52905
data\001.Nimitz-class_aircraft_carrier\P1532.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.97633
data\001.Nimitz-class_aircraft_carrier\P1543.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.123825
data\001.Nimitz-class_aircraft_carrier\P1549.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.712074
data\001.Nimitz-class_aircraft_carrier\P1561.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.793045
data\001.Nimitz-class_aircraft_carrier\P1570.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.87312
data\001.Nimitz-class_aircraft_carrier\P1585.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.593765
data\001.Nimitz-class_aircraft_carrier\P1596.bmp,001.Nimitz-class_aircraft_carrier,Carrier,89.61082
data\001.Nimitz-class_aircraft_carrier\P1608.bmp,001.Nimitz-class_aircraft_carrier,Carrier,86.51021
data\001.Nimitz-class_aircraft_carrier\P1617.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.4126
data\001.Nimitz-class_aircraft_carrier\P1620.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.598946
data\001.Nimitz-class_aircraft_carrier\P1624.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.80237
data\001.Nimitz-class_aircraft_carrier\P1632.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.60885
data\001.Nimitz-class_aircraft_carrier\P1644.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.25198
data\001.Nimitz-class_aircraft_carrier\P1651.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.898926
data\001.Nimitz-class_aircraft_carrier\P1666.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.73982
data\001.Nimitz-class_aircraft_carrier\P1683.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.29245
data\001.Nimitz-class_aircraft_carrier\P1694.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.56708
data\001.Nimitz-class_aircraft_carrier\P1696.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.99791
data\001.Nimitz-class_aircraft_carrier\P1708.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.10896
data\001.Nimitz-class_aircraft_carrier\P1746.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.861755
data\001.Nimitz-class_aircraft_carrier\P1787.bmp,001.Nimitz-class_aircraft_carrier,Carrier,89.03445
data\001.Nimitz-class_aircraft_carrier\P1789.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.77876
data\001.Nimitz-class_aircraft_carrier\P1819.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.84848
data\001.Nimitz-class_aircraft_carrier\P1896.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.90813
data\001.Nimitz-class_aircraft_carrier\P1897.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.44925
data\001.Nimitz-class_aircraft_carrier\P1926.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.21797
data\001.Nimitz-class_aircraft_carrier\P1945.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.43685
data\001.Nimitz-class_aircraft_carrier\P1950.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.0202
data\001.Nimitz-class_aircraft_carrier\P1981.bmp,001.Nimitz-class_aircraft_carrier,Carrier,87.34935
data\001.Nimitz-class_aircraft_carrier\P2019.bmp,001.Nimitz-class_aircraft_carrier,Carrier,89.100945
data\001.Nimitz-class_aircraft_carrier\P2032.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.479744
data\001.Nimitz-class_aircraft_carrier\P2034.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.29149
data\001.Nimitz-class_aircraft_carrier\P2050.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.680275
data\001.Nimitz-class_aircraft_carrier\P2062.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.504196
data\001.Nimitz-class_aircraft_carrier\P2081.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.755
data\001.Nimitz-class_aircraft_carrier\P2097.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.03552
data\001.Nimitz-class_aircraft_carrier\P2125.bmp,001.Nimitz-class_aircraft_carrier,Carrier,89.70735
data\001.Nimitz-class_aircraft_carrier\P2138.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.873856
