img_path,fine_label,super_label,sharpness,blur_radius,sharpness_blurred
data\001.Nimitz-class_aircraft_carrier\P0002.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.93181,0.6108549469281566,82.634445
data\001.Nimitz-class_aircraft_carrier\P0017.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.44737,5.649905658383502,13.061391
data\001.Nimitz-class_aircraft_carrier\P0027.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.10384,2.224854130501306,38.139893
data\001.Nimitz-class_aircraft_carrier\P0029.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.53886,2.8257337998817773,27.66407
data\001.Nimitz-class_aircraft_carrier\P0031.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.30054,5.1487089676933335,10.355078
data\001.Nimitz-class_aircraft_carrier\P0052.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.764015,0.0,80.764015
data\001.Nimitz-class_aircraft_carrier\P0059.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.55477,4.629589630611687,12.588698
data\001.Nimitz-class_aircraft_carrier\P0080.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.522575,5.884255141186074,11.278742
data\001.Nimitz-class_aircraft_carrier\P0084.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.91336,3.0259173605876692,24.237677
data\001.Nimitz-class_aircraft_carrier\P0092.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.58142,5.3793387110525615,17.114737
data\001.Nimitz-class_aircraft_carrier\P0132.bmp,001.Nimitz-class_aircraft_carrier,Carrier,78.6306,4.119131294865069,18.633976
data\001.Nimitz-class_aircraft_carrier\P0145.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.69829,0.0,76.69829
data\001.Nimitz-class_aircraft_carrier\P0199.bmp,001.Nimitz-class_aircraft_carrier,Carrier,87.19057,1.8584796662792462,53.132202
data\001.Nimitz-class_aircraft_carrier\P0212.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.599625,1.7312648430509912,58.79055
data\001.Nimitz-class_aircraft_carrier\P0218.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.33955,0.33439534532751014,80.749374
data\001.Nimitz-class_aircraft_carrier\P0228.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.665344,0.49970759802753806,84.882965
data\001.Nimitz-class_aircraft_carrier\P0240.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.63925,0.0,81.63925
data\001.Nimitz-class_aircraft_carrier\P0243.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.21374,3.545509131467738,20.77995
data\001.Nimitz-class_aircraft_carrier\P0252.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.678314,4.34343628845505,15.480703
data\001.Nimitz-class_aircraft_carrier\P0267.bmp,001.Nimitz-class_aircraft_carrier,Carrier,75.546005,0.0,75.546005
data\001.Nimitz-class_aircraft_carrier\P0293.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.6744,0.0,81.6744
data\001.Nimitz-class_aircraft_carrier\P0295.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.27762,1.1470451791653782,72.37879
data\001.Nimitz-class_aircraft_carrier\P0307.bmp,001.Nimitz-class_aircraft_carrier,Carrier,76.82187,0.0,76.82187
data\001.Nimitz-class_aircraft_carrier\P0308.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.663414,3.2229745229041504,27.900091
data\001.Nimitz-class_aircraft_carrier\P0315.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.2497,0.0,85.2497
data\001.Nimitz-class_aircraft_carrier\P0330.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.108925,5.4615110550003525,12.641064
data\001.Nimitz-class_aircraft_carrier\P0418.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.38458,3.853340002508461,20.614637
data\001.Nimitz-class_aircraft_carrier\P0427.bmp,001.Nimitz-class_aircraft_carrier,Carrier,79.03055,4.489436332001621,14.221775
data\001.Nimitz-class_aircraft_carrier\P0431.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.85971,0.0,88.85971
data\001.Nimitz-class_aircraft_carrier\P0484.bmp,001.Nimitz-class_aircraft_carrier,Carrier,82.61204,5.329984737966874,9.27382
data\001.Nimitz-class_aircraft_carrier\P0503.bmp,001.Nimitz-class_aircraft_carrier,Carrier,84.59097,0.0,84.59097
data\001.Nimitz-class_aircraft_carrier\P0525.bmp,001.Nimitz-class_aircraft_carrier,Carrier,88.4775,0.0,88.4775
data\001.Nimitz-class_aircraft_carrier\P0530.bmp,001.Nimitz-class_aircraft_carrier,Carrier,83.366776,0.6456006044598857,81.789116
data\001.Nimitz-class_aircraft_carrier\P0537.bmp,001.Nimitz-class_aircraft_carrier,Carrier,80.930565,0.0,80.930565
data\001.Nimitz-class_aircraft_carrier\P0539.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.451935,0.0,81.451935
data\001.Nimitz-class_aircraft_carrier\P0541.bmp,001.Nimitz-class_aircraft_carrier,Carrier,81.41056,0.0,81.41056
data\001.Nimitz-class_aircraft_carrier\P0556.bmp,001.Nimitz-class_aircraft_carrier,Carrier,85.85607,5.484755643129149,13.284803
